"","name","sex","year","n"
"10862","Grant","Male",1963,53
"10863","Hamish","Male",2003,53
"10864","Helen","Female",1983,53
"10865","Holly","Female",1988,53
"10866","Isabella","Female",1993,53
"10867","Isabelle","Female",1999,53
"10868","Jacinta","Female",1996,53
"10869","Jackson","Male",1991,53
"10870","Jade","Female",1979,53
"10871","Jamie","Male",2000,53
"10872","Jared","Male",1997,53
"10873","Jared","Male",1999,53
"10874","Jason","Male",2003,53
"10875","Jay","Male",1996,53
"10876","Jeremy","Male",1979,53
"10877","Jeremy","Male",2003,53
"10878","Jo-Anne","Female",1964,53
"10879","Jodi","Female",1973,53
"10880","Jodi","Female",1974,53
"10881","Jody","Female",1974,53
"10882","Kathleen","Female",1978,53
"10883","Katie","Female",2005,53
"10884","Kelly","Female",1967,53
"10885","Kenneth","Male",1976,53
"10886","Kenneth","Male",1977,53
"10887","Kerry","Female",1976,53
"10888","Kevin","Male",1980,53
"10889","Kevin","Male",1984,53
"10890","Kevin","Male",1986,53
"10891","Kieran","Male",1990,53
"10892","Kirsty","Female",1984,53
"10893","Kirsty","Female",1985,53
"10894","Kye","Male",2003,53
"10895","Kylie","Female",1965,53
"10896","Kym","Female",1980,53
"10897","Leanne","Female",1983,53
"10898","Lee","Male",1985,53
"10899","Lee","Male",1987,53
"10900","Leisa","Female",1970,53
"10901","Leslie","Male",1964,53
"10902","Louise","Female",1960,53
"10903","Louise","Female",1988,53
"10904","Louise","Female",1990,53
"10905","Madeline","Female",2005,53
"10906","Madison","Female",1993,53
"10907","Malcolm","Male",1973,53
"10908","Maree","Female",1972,53
"10909","Martin","Male",1964,53
"10910","Melinda","Female",1969,53
"10911","Melinda","Female",1985,53
"10912","Micheal","Male",1965,53
"10913","Micheal","Male",1975,53
"10914","Monique","Female",1991,53
"10915","Murray","Male",1962,53
"10916","Natalie","Female",1966,53
"10917","Natalie","Female",1997,53
"10918","Nicholas","Male",1968,53
"10919","Nigel","Male",1971,53
"10920","Oliver","Male",1994,53
"10921","Patricia","Female",1981,53
"10922","Patrick","Male",1971,53
"10923","Paul","Male",1993,53
"10924","Peta","Female",1982,53
"10925","Peta","Female",1983,53
"10926","Phillip","Male",1991,53
"10927","Rachael","Female",1979,53
"10928","Rhiannon","Female",1990,53
"10929","Robyn","Female",1977,53
"10930","Rosemary","Female",1960,53
"10931","Russell","Male",1980,53
"10932","Samantha","Female",1967,53
"10933","Sebastian","Male",2001,53
"10934","Seth","Male",2000,53
"10935","Shannon","Male",1985,53
"10936","Shaun","Male",1997,53
"10937","Simone","Female",1978,53
"10938","Simone","Female",1986,53
"10939","Skye","Female",2000,53
"10940","Stephanie","Female",1982,53
"10941","Stephen","Male",1995,53
"10942","Stuart","Male",1966,53
"10943","Stuart","Male",1981,53
"10944","Tammy","Female",1980,53
"10945","Tammy","Female",1982,53
"10946","Tanya","Female",1987,53
"10947","Teresa","Female",1969,53
"10948","Teresa","Female",1970,53
"10949","Terry","Male",1970,53
"10950","Tiffany","Female",1987,53
"10951","Tiffany","Female",1997,53
"10952","Tina","Female",1967,53
"10953","Tina","Female",1980,53
"10954","Tracy","Female",1978,53
"10955","Wade","Male",1982,53
"10956","Wade","Male",1991,53
"10957","Warren","Male",1974,53
"10958","Warren","Male",1975,53
"10959","Abby","Female",2002,52
"10960","Angela","Female",1994,52
"10961","Ashlee","Female",1996,52
"10962","Ashley","Male",2000,52
"10963","Beau","Male",1991,52
"10964","Bernadette","Female",1968,52
"10965","Bethany","Female",2003,52
"10966","Bethany","Female",2005,52
"10967","Bronwyn","Female",1974,52
"10968","Caitlyn","Female",2000,52
"10969","Carla","Female",1984,52
"10970","Carly","Female",1985,52
"10971","Carly","Female",1986,52
"10972","Carmel","Female",1960,52
"10973","Carol","Female",1968,52
"10974","Claudia","Female",2002,52
"10975","Debbie","Female",1968,52
"10976","Dianne","Female",1968,52
"10977","Douglas","Male",1965,52
"10978","Emma","Female",1973,52
"10979","Ethan","Male",1990,52
"10980","Garry","Male",1965,52
"10981","Gavin","Male",1986,52
"10982","George","Male",1962,52
"10983","George","Male",1969,52
"10984","Grant","Male",1964,52
"10985","Jacob","Male",1981,52
"10986","Jacqueline","Female",1960,52
"10987","Jane","Female",1977,52
"10988","Jane","Female",1981,52
